image_amount,epochs,acc,precision,recall,f1,training_time(s)
63,5,0.6,0.5714285714285714,0.8,0.6666666666666666,41.1055
63,5,0.6,0.6666666666666666,0.4,0.5,42.2166
63,5,0.7,0.75,0.6,0.6666666666666666,40.6506
63,10,0.6,0.6,0.6,0.6,81.0973
63,10,0.7,0.75,0.6,0.6666666666666666,82.1125
63,10,0.7,0.6666666666666666,0.8,0.7272727272727273,82.4039
63,15,0.7,0.6666666666666666,0.8,0.7272727272727273,124.727
63,15,0.9,0.8333333333333334,1.0,0.9090909090909091,121.841
63,15,0.8,0.8,0.8,0.8,121.414
63,20,0.7,0.75,0.6,0.6666666666666666,163.792
63,20,0.6,0.6,0.6,0.6,165.356
63,20,0.7,0.75,0.6,0.6666666666666666,157.644
63,25,0.6,0.6,0.6,0.6,204.333
63,25,0.8,0.8,0.8,0.8,206.024
63,25,0.6,0.6666666666666666,0.4,0.5,201.616
