image_amount,epochs,acc,precision,recall,f1,training_time(s)
20,15,0.6,0.6,0.6,0.6,26.7999
20,15,0.6,0.5714285714285714,0.8,0.6666666666666666,27.7445
20,15,0.5,0.5,0.6,0.5454545454545454,25.7781
30,15,0.4,0.42857142857142855,0.6,0.5,46.1074
30,15,0.8,0.8,0.8,0.8,43.0902
30,15,0.8,0.8,0.8,0.8,45.6618
40,15,0.8,0.8,0.8,0.8,61.081
40,15,0.5,0.5,0.6,0.5454545454545454,62.6173
40,15,0.9,1.0,0.8,0.8888888888888888,63.0969
50,15,1.0,1.0,1.0,1.0,75.5345
50,15,0.8,0.8,0.8,0.8,76.3125
50,15,0.8,0.8,0.8,0.8,72.5657
60,15,0.8,0.8,0.8,0.8,95.4763
60,15,0.9,0.8333333333333334,1.0,0.9090909090909091,99.6188
60,15,0.9,1.0,0.8,0.8888888888888888,97.5023
