epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.98834,0.71047,0.6,1,0.63562,1.428e-05,1.428e-05,1.428e-05
2,17.1674,0.70198,0.73333,1,0.63347,3.33438e-05,3.33438e-05,3.33438e-05
3,25.2754,0.60839,0.66667,1,0.61402,4.95802e-05,4.95802e-05,4.95802e-05
4,33.2294,0.56315,0.6,1,0.59037,6.29891e-05,6.29891e-05,6.29891e-05
5,41.2957,0.53232,0.66667,1,0.56472,7.35706e-05,7.35706e-05,7.35706e-05
6,49.2313,0.45213,0.73333,1,0.55289,8.13246e-05,8.13246e-05,8.13246e-05
7,57.3131,0.41297,0.73333,1,0.55189,8.62512e-05,8.62512e-05,8.62512e-05
8,65.2228,0.40518,0.66667,1,0.55534,8.83504e-05,8.83504e-05,8.83504e-05
9,73.3696,0.33812,0.66667,1,0.56092,8.76221e-05,8.76221e-05,8.76221e-05
10,81.3804,0.35218,0.66667,1,0.55817,8.40664e-05,8.40664e-05,8.40664e-05
11,89.3848,0.3108,0.66667,1,0.58164,7.76832e-05,7.76832e-05,7.76832e-05
12,97.2757,0.31855,0.66667,1,0.58443,6.84726e-05,6.84726e-05,6.84726e-05
13,105.244,0.24958,0.66667,1,0.59714,5.64346e-05,5.64346e-05,5.64346e-05
14,113.308,0.2306,0.66667,1,0.59972,4.15691e-05,4.15691e-05,4.15691e-05
15,121.414,0.25653,0.66667,1,0.60499,2.38762e-05,2.38762e-05,2.38762e-05
