epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.18425,0.68545,0.73333,1,0.6457,1.428e-05,1.428e-05,1.428e-05
2,17.5429,0.69017,0.73333,1,0.62559,3.39329e-05,3.39329e-05,3.39329e-05
3,25.7739,0.63618,0.6,1,0.59404,5.14651e-05,5.14651e-05,5.14651e-05
4,33.9645,0.56695,0.66667,1,0.56715,6.68768e-05,6.68768e-05,6.68768e-05
5,42.1833,0.50926,0.66667,1,0.54745,8.01679e-05,8.01679e-05,8.01679e-05
6,50.236,0.41447,0.66667,1,0.54036,9.13384e-05,9.13384e-05,9.13384e-05
7,58.2817,0.41381,0.73333,1,0.53829,0.000100388,0.000100388,0.000100388
8,66.4017,0.38902,0.73333,1,0.52862,0.000107318,0.000107318,0.000107318
9,74.5717,0.37145,0.73333,1,0.49829,0.000112127,0.000112127,0.000112127
10,82.6131,0.35441,0.8,1,0.48143,0.000114815,0.000114815,0.000114815
11,90.6694,0.27816,0.73333,1,0.44847,0.000115382,0.000115382,0.000115382
12,98.7738,0.29974,0.73333,1,0.43889,0.000113829,0.000113829,0.000113829
13,106.77,0.21033,0.73333,1,0.42804,0.000110156,0.000110156,0.000110156
14,114.898,0.18138,0.73333,1,0.41996,0.000104362,0.000104362,0.000104362
15,122.982,0.19489,0.73333,1,0.41795,9.64471e-05,9.64471e-05,9.64471e-05
16,131.107,0.16244,0.73333,1,0.42468,8.64119e-05,8.64119e-05,8.64119e-05
17,139.237,0.15438,0.73333,1,0.43168,7.4256e-05,7.4256e-05,7.4256e-05
18,147.374,0.24818,0.73333,1,0.45138,5.99796e-05,5.99796e-05,5.99796e-05
19,155.541,0.13092,0.73333,1,0.46039,4.35826e-05,4.35826e-05,4.35826e-05
20,163.792,0.11961,0.73333,1,0.45735,2.5065e-05,2.5065e-05,2.5065e-05
