epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.07041,0.6392,1,1,0.52017,0,0,0
2,4.89835,0.57844,1,1,0.51153,6.66876e-06,6.66876e-06,6.66876e-06
3,6.69987,0.65685,1,1,0.50545,1.2395e-05,1.2395e-05,1.2395e-05
4,8.48414,0.62847,1,1,0.49958,1.71788e-05,1.71788e-05,1.71788e-05
5,10.2372,0.53589,1,1,0.49658,2.10202e-05,2.10202e-05,2.10202e-05
6,11.9531,0.54543,1,1,0.50009,2.3919e-05,2.3919e-05,2.3919e-05
7,13.7657,0.49118,1,1,0.50175,2.58754e-05,2.58754e-05,2.58754e-05
8,15.5004,0.47943,1,1,0.50377,2.68892e-05,2.68892e-05,2.68892e-05
9,17.2401,0.44099,1,1,0.50277,2.69606e-05,2.69606e-05,2.69606e-05
10,18.9568,0.39906,1,1,0.50356,2.60896e-05,2.60896e-05,2.60896e-05
11,20.7306,0.42351,1,1,0.50043,2.4276e-05,2.4276e-05,2.4276e-05
12,22.5091,0.37229,1,1,0.50056,2.152e-05,2.152e-05,2.152e-05
13,24.3081,0.33463,1,1,0.50621,1.78214e-05,1.78214e-05,1.78214e-05
14,26.0255,0.30377,1,1,0.51083,1.31804e-05,1.31804e-05,1.31804e-05
15,27.7445,0.36761,1,1,0.51473,7.59696e-06,7.59696e-06,7.59696e-06
