epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.81614,0.65015,1,1,0.58365,0,0,0
2,6.49245,0.65965,1,1,0.58847,6.66876e-06,6.66876e-06,6.66876e-06
3,8.07977,0.67634,1,1,0.58785,1.2395e-05,1.2395e-05,1.2395e-05
4,9.66422,0.61767,0.5,1,0.59136,1.71788e-05,1.71788e-05,1.71788e-05
5,11.2405,0.60821,0.5,1,0.59949,2.10202e-05,2.10202e-05,2.10202e-05
6,12.8182,0.53054,0.5,1,0.60284,2.3919e-05,2.3919e-05,2.3919e-05
7,14.3862,0.5115,0.5,1,0.61026,2.58754e-05,2.58754e-05,2.58754e-05
8,15.9393,0.5095,0.5,1,0.61428,2.68892e-05,2.68892e-05,2.68892e-05
9,17.4856,0.48039,0.5,1,0.624,2.69606e-05,2.69606e-05,2.69606e-05
10,19.0119,0.39619,0.5,1,0.63093,2.60896e-05,2.60896e-05,2.60896e-05
11,20.5787,0.34684,0.5,1,0.63769,2.4276e-05,2.4276e-05,2.4276e-05
12,22.1383,0.32976,0.5,1,0.64928,2.152e-05,2.152e-05,2.152e-05
13,23.6838,0.31449,0.5,1,0.66165,1.78214e-05,1.78214e-05,1.78214e-05
14,25.2286,0.29951,0.5,1,0.67089,1.31804e-05,1.31804e-05,1.31804e-05
15,26.7999,0.27185,0.5,1,0.68338,7.59696e-06,7.59696e-06,7.59696e-06
