epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.79353,0.66406,0.8,1,0.59859,7.14e-06,7.14e-06,7.14e-06
2,12.7937,0.68393,0.7,1,0.60082,2.00063e-05,2.00063e-05,2.00063e-05
3,17.6639,0.62201,0.7,1,0.60105,3.09876e-05,3.09876e-05,3.09876e-05
4,22.4342,0.59562,0.7,1,0.60912,4.0084e-05,4.0084e-05,4.0084e-05
5,27.3027,0.56683,0.8,1,0.62291,4.72954e-05,4.72954e-05,4.72954e-05
6,32.2851,0.52728,0.8,1,0.63599,5.26218e-05,5.26218e-05,5.26218e-05
7,37.1208,0.46318,0.7,1,0.64176,5.60633e-05,5.60633e-05,5.60633e-05
8,41.9866,0.43606,0.7,1,0.63604,5.76198e-05,5.76198e-05,5.76198e-05
9,46.7292,0.44894,0.7,1,0.62998,5.72914e-05,5.72914e-05,5.72914e-05
10,51.5444,0.36708,0.7,1,0.62811,5.5078e-05,5.5078e-05,5.5078e-05
11,56.3331,0.36728,0.6,1,0.63345,5.09796e-05,5.09796e-05,5.09796e-05
12,61.1181,0.36275,0.6,1,0.62797,4.49963e-05,4.49963e-05,4.49963e-05
13,65.903,0.32144,0.6,1,0.62454,3.7128e-05,3.7128e-05,3.7128e-05
14,70.7736,0.30413,0.6,1,0.61901,2.73748e-05,2.73748e-05,2.73748e-05
15,75.5345,0.31507,0.6,1,0.61705,1.57366e-05,1.57366e-05,1.57366e-05
