epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.10183,0.75333,0.66667,1,0.71063,1.428e-05,1.428e-05,1.428e-05
2,12.7278,0.69348,0.66667,1,0.66818,3.33438e-05,3.33438e-05,3.33438e-05
3,18.336,0.61163,0.75,1,0.61069,4.95802e-05,4.95802e-05,4.95802e-05
4,23.699,0.58687,0.75,1,0.5507,6.29891e-05,6.29891e-05,6.29891e-05
5,29.1516,0.48812,0.83333,1,0.50003,7.35706e-05,7.35706e-05,7.35706e-05
6,34.5357,0.49114,0.75,1,0.47642,8.13246e-05,8.13246e-05,8.13246e-05
7,39.8419,0.42615,0.75,1,0.46004,8.62512e-05,8.62512e-05,8.62512e-05
8,45.0294,0.34921,0.75,1,0.45026,8.83504e-05,8.83504e-05,8.83504e-05
9,50.2815,0.34688,0.66667,1,0.43496,8.76221e-05,8.76221e-05,8.76221e-05
10,55.5676,0.32328,0.66667,1,0.42943,8.40664e-05,8.40664e-05,8.40664e-05
11,60.907,0.32012,0.66667,1,0.42241,7.76832e-05,7.76832e-05,7.76832e-05
12,66.1886,0.31973,0.66667,1,0.42234,6.84726e-05,6.84726e-05,6.84726e-05
13,71.5857,0.25604,0.75,1,0.41677,5.64346e-05,5.64346e-05,5.64346e-05
14,76.9614,0.23264,0.75,1,0.41409,4.15691e-05,4.15691e-05,4.15691e-05
15,82.3836,0.21004,0.66667,1,0.42377,2.38762e-05,2.38762e-05,2.38762e-05
