epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.35674,0.69757,0.75,1,0.63349,1.428e-05,1.428e-05,1.428e-05
2,12.9729,0.69375,0.75,1,0.603,3.33438e-05,3.33438e-05,3.33438e-05
3,18.5139,0.60299,0.83333,1,0.56818,4.95802e-05,4.95802e-05,4.95802e-05
4,23.9525,0.59651,0.83333,1,0.53283,6.29891e-05,6.29891e-05,6.29891e-05
5,29.4417,0.49465,0.75,1,0.5137,7.35706e-05,7.35706e-05,7.35706e-05
6,34.9124,0.52004,0.75,1,0.50673,8.13246e-05,8.13246e-05,8.13246e-05
7,40.2533,0.44407,0.66667,1,0.49733,8.62512e-05,8.62512e-05,8.62512e-05
8,45.5699,0.39491,0.66667,1,0.49949,8.83504e-05,8.83504e-05,8.83504e-05
9,50.9229,0.37834,0.83333,1,0.51674,8.76221e-05,8.76221e-05,8.76221e-05
10,56.2513,0.33085,0.83333,1,0.52299,8.40664e-05,8.40664e-05,8.40664e-05
11,61.7913,0.28267,0.83333,1,0.54909,7.76832e-05,7.76832e-05,7.76832e-05
12,67.2144,0.29185,0.83333,1,0.56434,6.84726e-05,6.84726e-05,6.84726e-05
13,72.6725,0.29334,0.83333,1,0.60336,5.64346e-05,5.64346e-05,5.64346e-05
14,78.0179,0.23684,0.83333,1,0.61049,4.15691e-05,4.15691e-05,4.15691e-05
15,83.4194,0.22681,0.83333,1,0.61933,2.38762e-05,2.38762e-05,2.38762e-05
